server_name,tool_name,parameter_name,schema_type,datatype,parameter_description,is_required
airtable,airtable_list_tables,base_id,Input,String,ID of the base,Required
airtable,airtable_create_table,description,Input,String,Description of the table,Optional
airtable,airtable_create_table,base_id,Input,String,ID of the base,Required
airtable,airtable_create_table,fields,Input,Array,Initial fields for the table,Optional
airtable,airtable_create_table,table_name,Input,String,Name of the new table,Required
airtable,airtable_update_table,description,Input,String,New description for the table,Optional
airtable,airtable_update_table,base_id,Input,String,ID of the base,Required
airtable,airtable_update_table,table_id,Input,String,ID of the table to update,Required
airtable,airtable_update_table,name,Input,String,New name for the table,Optional
airtable,airtable_create_field,base_id,Input,String,ID of the base,Required
airtable,airtable_create_field,table_id,Input,String,ID of the table,Required
airtable,airtable_create_field,field,Input,Object,,Required
airtable,airtable_update_field,base_id,Input,String,ID of the base,Required
airtable,airtable_update_field,updates,Input,Object,,Required
airtable,airtable_update_field,table_id,Input,String,ID of the table,Required
airtable,airtable_update_field,field_id,Input,String,ID of the field to update,Required
airtable,airtable_list_records,base_id,Input,String,ID of the base,Required
airtable,airtable_list_records,table_name,Input,String,Name of the table,Required
airtable,airtable_list_records,max_records,Input,Number,Maximum number of records to return,Optional
airtable,airtable_create_record,base_id,Input,String,ID of the base,Required
airtable,airtable_create_record,fields,Input,Object,Record fields as key-value pairs,Required
airtable,airtable_create_record,table_name,Input,String,Name of the table,Required
airtable,airtable_update_record,base_id,Input,String,ID of the base,Required
airtable,airtable_update_record,fields,Input,Object,Record fields to update as key-value pairs,Required
airtable,airtable_update_record,table_name,Input,String,Name of the table,Required
airtable,airtable_update_record,record_id,Input,String,ID of the record to update,Required
airtable,airtable_delete_record,base_id,Input,String,ID of the base,Required
airtable,airtable_delete_record,table_name,Input,String,Name of the table,Required
airtable,airtable_delete_record,record_id,Input,String,ID of the record to delete,Required
airtable,airtable_search_records,base_id,Input,String,ID of the base,Required
airtable,airtable_search_records,table_name,Input,String,Name of the table,Required
airtable,airtable_search_records,field_name,Input,String,Name of the field to search in,Required
airtable,airtable_search_records,value,Input,String,Value to search for,Required
airtable,airtable_get_record,base_id,Input,String,ID of the base,Required
airtable,airtable_get_record,table_name,Input,String,Name of the table,Required
airtable,airtable_get_record,record_id,Input,String,ID of the record to retrieve,Required
alchemy,alchemy_fetchTokenPriceBySymbol,symbols,Input,Array,"A list of blockchaintoken symbols to query. e.g. [""BTC"", ""ETH""]",Required
alchemy,alchemy_fetchTokenPriceByAddress,addresses,Input,Array,A list of token contract address and network pairs,Required
alchemy,alchemy_fetchTokenPriceHistoryBySymbol,startTime,Input,String,"The start time date to query. e.g. ""2021-01-01""",Required
alchemy,alchemy_fetchTokenPriceHistoryBySymbol,symbol,Input,String,"The token symbol to query. e.g. ""BTC"" or ""ETH""",Required
alchemy,alchemy_fetchTokenPriceHistoryBySymbol,interval,Input,String,"The interval to query. e.g. ""1d"" or ""1h""",Required
alchemy,alchemy_fetchTokenPriceHistoryBySymbol,endTime,Input,String,"The end time date to query. e.g. ""2021-01-01""",Required
alchemy,alchemy_fetchTokenPriceHistoryByTimeFrame,timeFrame,Input,String,"Time frame like ""last-week"", ""past-7d"", ""ytd"", ""last-month"", etc. or use natural language like ""last week""",Required
alchemy,alchemy_fetchTokenPriceHistoryByTimeFrame,interval,Input,String,"The interval to query. e.g. ""1d"" or ""1h""",Optional
alchemy,alchemy_fetchTokenPriceHistoryByTimeFrame,symbol,Input,String,"The token symbol to query. e.g. ""BTC"" or ""ETH""",Required
alchemy,alchemy_fetchTokenPriceHistoryByTimeFrame,useNaturalLanguageProcessing,Input,Boolean,"If true, will interpret timeFrame as natural language",Optional
