server_name,tool_name
airtable,airtable_create_field
airtable,airtable_create_record
airtable,airtable_create_table
airtable,airtable_delete_record
airtable,airtable_get_record
airtable,airtable_list_bases
airtable,airtable_list_records
airtable,airtable_list_tables
airtable,airtable_search_records
airtable,airtable_update_field
airtable,airtable_update_record
airtable,airtable_update_table
alchemy,alchemy_fetchAddressTransactionHistory
alchemy,alchemy_fetchNftContractDataByMultichainAddress
alchemy,alchemy_fetchNftsOwnedByMultichainAddresses
alchemy,alchemy_fetchTokenPriceByAddress
alchemy,alchemy_fetchTokenPriceBySymbol
alchemy,alchemy_fetchTokenPriceHistoryBySymbol
alchemy,alchemy_fetchTokenPriceHistoryByTimeFrame
alchemy,alchemy_fetchTokensOwnedByMultichainAddresses
alchemy,alchemy_fetchTransfers
arxiv,arxiv_download_paper
arxiv,arxiv_list_papers
arxiv,arxiv_read_paper
arxiv,arxiv_search_papers
brave-search,brave-search_brave_local_search
brave-search,brave-search_brave_web_search
calculator,calculator_calculate
cli-mcp-server,cli-mcp-server_run_command
cli-mcp-server,cli-mcp-server_show_security_rules
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_analyze_trends
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_get_study
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_list_studies
context7,context7_get-library-docs
context7,context7_resolve-library-id
ddg-search,ddg-search_fetch_content
ddg-search,ddg-search_search
desktop-commander,desktop-commander_create_directory
desktop-commander,desktop-commander_edit_block
desktop-commander,desktop-commander_force_terminate
desktop-commander,desktop-commander_get_config
desktop-commander,desktop-commander_get_file_info
desktop-commander,desktop-commander_get_usage_stats
desktop-commander,desktop-commander_give_feedback_to_desktop_commander
desktop-commander,desktop-commander_interact_with_process
desktop-commander,desktop-commander_kill_process
desktop-commander,desktop-commander_list_directory
desktop-commander,desktop-commander_list_processes
desktop-commander,desktop-commander_list_sessions
desktop-commander,desktop-commander_move_file
desktop-commander,desktop-commander_read_file
desktop-commander,desktop-commander_read_multiple_files
desktop-commander,desktop-commander_read_process_output
desktop-commander,desktop-commander_search_code
desktop-commander,desktop-commander_search_files
desktop-commander,desktop-commander_set_config_value
desktop-commander,desktop-commander_start_process
desktop-commander,desktop-commander_write_file
e2b-server,e2b-server_run_code
exa,exa_web_search_exa
fetch,fetch_fetch
filesystem,filesystem_create_directory
filesystem,filesystem_directory_tree
filesystem,filesystem_edit_file
filesystem,filesystem_get_file_info
filesystem,filesystem_list_allowed_directories
filesystem,filesystem_list_directory
filesystem,filesystem_list_directory_with_sizes
filesystem,filesystem_move_file
filesystem,filesystem_read_file
filesystem,filesystem_read_media_file
filesystem,filesystem_read_multiple_files
filesystem,filesystem_read_text_file
filesystem,filesystem_search_files
filesystem,filesystem_write_file
git,git_git_add
git,git_git_branch
git,git_git_checkout
git,git_git_commit
git,git_git_create_branch
git,git_git_diff
git,git_git_diff_staged
git,git_git_diff_unstaged
git,git_git_init
git,git_git_log
git,git_git_reset
git,git_git_show
git,git_git_status
github,github_add_issue_comment
github,github_create_branch
github,github_create_issue
github,github_create_or_update_file
github,github_create_pull_request
github,github_create_pull_request_review_comment
github,github_create_repository
github,github_fork_repository
github,github_get_commit
github,github_get_file_contents
github,github_get_issue
github,github_get_issue_comments
github,github_get_pull_request
github,github_get_pull_request_comments
github,github_get_pull_request_files
github,github_get_pull_request_review_comments
github,github_get_pull_request_status
github,github_get_repository
github,github_get_tag
github,github_list_branches
github,github_list_commits
